time,open,high,low,close,tick_volume,spread,real_volume,range,body,upper_wick,lower_wick
2026-01-26 00:00:00,1.36608,1.36618,1.36566,1.36598,29,94,0,0.0005199999999998539,9.999999999998899e-05,9.999999999998899e-05,0.00031999999999987594
2026-01-26 00:05:00,1.36598,1.3662,1.36592,1.366,22,65,0,0.000280000000000058,2.0000000000131024e-05,0.00019999999999997797,5.999999999994898e-05
2026-01-26 00:10:00,1.366,1.3661400000000001,1.3658000000000001,1.3661400000000001,17,91,0,0.00034000000000000696,0.000140000000000029,0.0,0.00019999999999997797
2026-01-26 00:15:00,1.3663699999999999,1.36667,1.3662,1.36639,90,40,0,0.00046999999999997044,2.0000000000131024e-05,0.000280000000000058,0.00016999999999978144
2026-01-26 00:20:00,1.36645,1.36653,1.3659,1.3664100000000001,36,40,0,0.0006300000000001305,3.999999999981796e-05,8.000000000008001e-05,0.0005100000000002325
2026-01-26 00:25:00,1.3664,1.3664,1.36599,1.36624,45,40,0,0.00041000000000002146,0.00016000000000016001,0.0,0.00024999999999986144
2026-01-26 00:30:00,1.36624,1.36626,1.36599,1.36613,24,40,0,0.00026999999999999247,0.00010999999999983245,2.0000000000131024e-05,0.000140000000000029
2026-01-26 00:35:00,1.36606,1.3666800000000001,1.36606,1.36659,30,28,0,0.0006200000000000649,0.0005299999999999194,9.000000000014552e-05,0.0
2026-01-26 00:40:00,1.36661,1.36673,1.36653,1.3666800000000001,44,40,0,0.00019999999999997797,7.00000000000145e-05,4.999999999988347e-05,8.000000000008001e-05
2026-01-26 00:45:00,1.36669,1.36788,1.3664399999999999,1.3664399999999999,138,40,0,0.0014400000000001079,0.0002500000000000835,0.0011900000000000244,0.0
2026-01-26 00:50:00,1.36633,1.36812,1.36633,1.3676599999999999,190,40,0,0.0017899999999999583,0.0013299999999998313,0.000460000000000127,0.0
2026-01-26 00:55:00,1.3676599999999999,1.36785,1.3675,1.36762,71,40,0,0.0003500000000000725,3.999999999981796e-05,0.0001900000000001345,0.00012000000000012001
2026-01-26 01:00:00,1.36783,1.36802,1.36748,1.36758,266,4,0,0.0005399999999999849,0.0002500000000000835,0.00018999999999991246,9.999999999998899e-05
2026-01-26 01:05:00,1.36753,1.36794,1.36681,1.36781,224,4,0,0.0011299999999998533,0.000280000000000058,0.00012999999999996348,0.0007199999999998319
2026-01-26 01:10:00,1.36781,1.36802,1.3678,1.36791,196,4,0,0.000220000000000109,9.999999999998899e-05,0.0001100000000000545,1.0000000000065512e-05
2026-01-26 01:15:00,1.36788,1.36802,1.3673600000000001,1.36772,209,4,0,0.0006599999999998829,0.00015999999999993797,0.000140000000000029,0.00035999999999991594
2026-01-26 01:20:00,1.36771,1.36775,1.36626,1.36632,205,4,0,0.0014899999999999913,0.0013900000000000023,4.0000000000040004e-05,5.999999999994898e-05
2026-01-26 01:25:00,1.36625,1.3665,1.36591,1.36616,199,4,0,0.0005900000000000905,8.999999999992347e-05,0.0002500000000000835,0.0002500000000000835
2026-01-26 01:30:00,1.36616,1.36659,1.36577,1.36602,208,4,0,0.0008200000000000429,0.000140000000000029,0.00042999999999993044,0.0002500000000000835
2026-01-26 01:35:00,1.36602,1.36655,1.36589,1.36647,183,4,0,0.0006599999999998829,0.00045000000000006146,7.999999999985796e-05,0.00012999999999996348
2026-01-26 01:40:00,1.36647,1.36659,1.36597,1.36601,168,4,0,0.0006200000000000649,0.000460000000000127,0.00011999999999989797,4.0000000000040004e-05
2026-01-26 01:45:00,1.366,1.36643,1.36542,1.36619,245,4,0,0.0010099999999999554,0.00018999999999991246,0.00024000000000001798,0.0005800000000000249
2026-01-26 01:50:00,1.3660999999999999,1.36636,1.36595,1.36596,227,4,0,0.00041000000000002146,0.00013999999999980695,0.000260000000000149,1.0000000000065512e-05
2026-01-26 01:55:00,1.366,1.36642,1.36588,1.3663699999999999,217,4,0,0.0005399999999999849,0.0003699999999997594,5.0000000000105516e-05,0.00012000000000012001
2026-01-26 02:00:00,1.3664100000000001,1.36646,1.36472,1.36545,403,4,0,0.0017400000000000748,0.0009600000000000719,4.999999999988347e-05,0.0007300000000001194
2026-01-26 02:05:00,1.36547,1.3655599999999999,1.3648500000000001,1.36524,341,4,0,0.0007099999999997664,0.00022999999999995246,8.999999999992347e-05,0.00038999999999989043
2026-01-26 02:10:00,1.3653,1.36577,1.36467,1.3649499999999999,258,4,0,0.0010999999999998789,0.0003500000000000725,0.00046999999999997044,0.00027999999999983594
2026-01-26 02:15:00,1.3649,1.36507,1.3646,1.3647,216,4,0,0.00046999999999997044,0.00019999999999997797,0.00017000000000000348,9.999999999998899e-05
2026-01-26 02:20:00,1.36471,1.36497,1.36436,1.36494,251,4,0,0.0006099999999999994,0.00022999999999995246,2.999999999997449e-05,0.0003500000000000725
2026-01-26 02:25:00,1.3649,1.36545,1.3649,1.3652,202,4,0,0.0005500000000000504,0.00029999999999996696,0.0002500000000000835,0.0
2026-01-26 02:30:00,1.36521,1.36527,1.36459,1.3648799999999999,229,4,0,0.0006800000000000139,0.0003300000000001635,5.999999999994898e-05,0.00028999999999990145
2026-01-26 02:35:00,1.3649200000000001,1.3655,1.36477,1.36543,257,4,0,0.0007299999999998974,0.0005099999999997884,7.00000000000145e-05,0.0001500000000000945
2026-01-26 02:40:00,1.36543,1.3655300000000001,1.36523,1.36534,257,4,0,0.000300000000000189,8.999999999992347e-05,0.00010000000000021103,0.0001100000000000545
2026-01-26 02:45:00,1.36534,1.36558,1.36529,1.36535,219,4,0,0.0002900000000001235,1.0000000000065512e-05,0.00022999999999995246,5.0000000000105516e-05
2026-01-26 02:50:00,1.36536,1.36571,1.36529,1.36567,227,4,0,0.00042000000000008697,0.00031000000000003247,4.0000000000040004e-05,7.00000000000145e-05
2026-01-26 02:55:00,1.3656,1.3667500000000001,1.36537,1.3667099999999999,323,4,0,0.0013800000000001589,0.0011099999999999444,4.000000000026205e-05,0.00022999999999995246
2026-01-26 03:00:00,1.3667500000000001,1.36745,1.36646,1.36715,391,4,0,0.0009900000000000464,0.00039999999999995595,0.00029999999999996696,0.0002900000000001235
2026-01-26 03:05:00,1.36716,1.3673199999999999,1.36608,1.3664100000000001,312,4,0,0.0012399999999999078,0.0007499999999998064,0.00015999999999993797,0.0003300000000001635
2026-01-26 03:10:00,1.36643,1.36667,1.36613,1.36628,238,4,0,0.0005399999999999849,0.0001500000000000945,0.00024000000000001798,0.00014999999999987246
2026-01-26 03:15:00,1.36632,1.36655,1.36581,1.36655,259,4,0,0.0007399999999999629,0.00022999999999995246,0.0,0.0005100000000000104
2026-01-26 03:20:00,1.36657,1.3666,1.36611,1.36626,209,4,0,0.0004900000000001015,0.00031000000000003247,2.999999999997449e-05,0.0001500000000000945
2026-01-26 03:25:00,1.36622,1.36654,1.36608,1.36634,239,4,0,0.000460000000000127,0.00012000000000012001,0.00019999999999997797,0.000140000000000029
2026-01-26 03:30:00,1.36632,1.36649,1.36595,1.3661400000000001,218,4,0,0.0005399999999999849,0.00017999999999984695,0.00017000000000000348,0.0001900000000001345
2026-01-26 03:35:00,1.36615,1.36727,1.36612,1.36658,303,4,0,0.0011499999999999844,0.00042999999999993044,0.0006900000000000794,2.999999999997449e-05
2026-01-26 03:40:00,1.36658,1.3669799999999999,1.36648,1.36667,284,4,0,0.0004999999999999449,9.000000000014552e-05,0.00030999999999981043,9.999999999998899e-05
2026-01-26 03:45:00,1.3666800000000001,1.36719,1.3666,1.36711,236,4,0,0.0005899999999998684,0.00042999999999993044,7.999999999985796e-05,8.000000000008001e-05
2026-01-26 03:50:00,1.3671,1.3671,1.36636,1.36682,213,4,0,0.0007399999999999629,0.000280000000000058,0.0,0.00045999999999990493
2026-01-26 03:55:00,1.36681,1.36682,1.366,1.36608,277,4,0,0.0008199999999998209,0.0007300000000001194,9.999999999843467e-06,7.999999999985796e-05
2026-01-26 04:00:00,1.3660700000000001,1.36638,1.36586,1.36618,266,4,0,0.0005199999999998539,0.00010999999999983245,0.00019999999999997797,0.00021000000000004349
2026-01-26 04:05:00,1.36618,1.3666800000000001,1.36604,1.3666800000000001,185,4,0,0.000640000000000196,0.000500000000000167,0.0,0.000140000000000029
2026-01-26 04:10:00,1.36667,1.36787,1.36653,1.36773,335,4,0,0.0013399999999998968,0.0010599999999998388,0.000140000000000029,0.000140000000000029
