timestamp,pair,atr,entry_price,method,position_size,risk_amount,portfolio_exposure,margin_used_pct,decision_reason
2024-01-01 01:00:00,EURUSD,4043386.756850726,147.00447239232557,equity_%,3.3647605509136023e-06,2000.0,4.946348495135649e-07,9.892696990271298e-09,"Method: equity_%, ATR: 4043386.76, Risk: 2000.00"
2024-01-01 02:00:00,EURUSD,6044533.878857062,-263.8831417065418,equity_%,-1.2537595933868324e-06,1999.809979280758,3.30877457233836e-07,6.61754914467672e-09,"Method: equity_%, ATR: 6044533.88, Risk: 1999.81"
2024-01-01 03:00:00,EURUSD,2831160.8944515307,-387.7932215158106,equity_%,-1.821619902468225e-06,1999.9656061035525,7.064239986923993e-07,1.4128479973847985e-08,"Method: equity_%, ATR: 2831160.89, Risk: 1999.97"
2024-01-01 04:00:00,EURUSD,2614290.6946606007,-488.71198981422606,equity_%,-1.564610352562078e-06,1999.0012722025826,7.650258649831018e-07,1.5300517299662036e-08,"Method: equity_%, ATR: 2614290.69, Risk: 1999.00"
2024-01-01 05:00:00,EURUSD,780264.5809153034,-460.6561483465723,equity_%,-5.5620672494662965e-06,1999.1942806144575,2.563233099282636e-06,5.126466198565272e-08,"Method: equity_%, ATR: 780264.58, Risk: 1999.19"
2024-01-01 06:00:00,EURUSD,1083741.050783437,-463.735926325607,equity_%,-3.985919913064547e-06,2003.2024158234979,1.8454592991141184e-06,3.690918598228237e-08,"Method: equity_%, ATR: 1083741.05, Risk: 2003.20"
2024-01-01 07:00:00,EURUSD,1850701.3994466478,-563.4034183232887,equity_%,-1.9212059512600387e-06,2003.2251050302746,1.0806713609218602e-06,2.1613427218437208e-08,"Method: equity_%, ATR: 1850701.40, Risk: 2003.23"
2024-01-01 08:00:00,EURUSD,731502.5396001261,-506.3260919236559,equity_%,-5.406786593082001e-06,2002.5592497348277,2.7340985051033382e-06,5.4681970102066765e-08,"Method: equity_%, ATR: 731502.54, Risk: 2002.56"
2024-01-01 09:00:00,EURUSD,1110829.1148915056,-532.414387570799,equity_%,-3.3842024515058466e-06,2001.4897615698253,1.8004569498480775e-06,3.600913899696156e-08,"Method: equity_%, ATR: 1110829.11, Risk: 2001.49"
2024-01-01 10:00:00,EURUSD,833989.57272031,-508.48767001921544,equity_%,-4.7185416109019814e-06,2001.008053116864,2.398111517721251e-06,4.796223035442502e-08,"Method: equity_%, ATR: 833989.57, Risk: 2001.01"
2024-01-01 11:00:00,EURUSD,1568217.6303754982,-461.553566911946,equity_%,-2.768960336227195e-06,2004.2190158215483,1.2753331943609858e-06,2.550666388721972e-08,"Method: equity_%, ATR: 1568217.63, Risk: 2004.22"
2024-01-01 12:00:00,EURUSD,3936161.0782851754,-709.4065137809334,equity_%,-7.163407266291914e-07,2000.265652709488,5.08109287252878e-07,1.0162185745057559e-08,"Method: equity_%, ATR: 3936161.08, Risk: 2000.27"
2024-01-01 13:00:00,EURUSD,981866.4569423038,-744.2371784758375,equity_%,-2.7361366227492727e-06,1999.408638889636,2.0369368826676637e-06,4.073873765335327e-08,"Method: equity_%, ATR: 981866.46, Risk: 1999.41"
2024-01-01 14:00:00,EURUSD,2987976.9647539495,-671.9380820043269,equity_%,-9.957656465744566e-07,1999.234049032266,6.693492030199414e-07,1.338698406039883e-08,"Method: equity_%, ATR: 2987976.96, Risk: 1999.23"
2024-01-01 15:00:00,EURUSD,1447905.399125467,-548.7665895392064,equity_%,-2.5216752868351074e-06,2003.6276312297466,1.3813057132102676e-06,2.7626114264205348e-08,"Method: equity_%, ATR: 1447905.40, Risk: 2003.63"
2024-01-01 16:00:00,EURUSD,1223341.2153718371,-568.3403405662074,equity_%,-2.8795725664715887e-06,2002.092405873858,1.6348668506129715e-06,3.269733701225942e-08,"Method: equity_%, ATR: 1223341.22, Risk: 2002.09"
2024-01-01 17:00:00,EURUSD,2620161.691732611,-650.5531126086521,equity_%,-1.1736094364549988e-06,2000.4810631797857,7.633116713028034e-07,1.5266233426056068e-08,"Method: equity_%, ATR: 2620161.69, Risk: 2000.48"
2024-01-01 18:00:00,EURUSD,1349001.1374634912,-542.8041419246699,equity_%,-2.731005631761239e-06,1999.7608625371295,1.4825784385627527e-06,2.965156877125505e-08,"Method: equity_%, ATR: 1349001.14, Risk: 1999.76"
2024-01-01 19:00:00,EURUSD,1395284.725159679,-490.9541017027519,equity_%,-2.9197108876837436e-06,2000.062567933919,1.433399193681502e-06,2.866798387363004e-08,"Method: equity_%, ATR: 1395284.73, Risk: 2000.06"
2024-01-01 20:00:00,EURUSD,3554645.8440494114,-749.5462053867363,equity_%,-7.511389782386211e-07,2001.3131388604763,5.626439560351878e-07,1.1252879120703756e-08,"Method: equity_%, ATR: 3554645.84, Risk: 2001.31"
2024-01-01 21:00:00,EURUSD,1815849.4952410217,-815.7283869244659,equity_%,-1.34986263580406e-06,1999.470503189463,1.1014128677743392e-06,2.2028257355486784e-08,"Method: equity_%, ATR: 1815849.50, Risk: 1999.47"
2024-01-01 22:00:00,EURUSD,1603593.66005777,-971.2300841483892,equity_%,-1.2836105631190392e-06,1999.170060787063,1.2471987448041851e-06,2.4943974896083702e-08,"Method: equity_%, ATR: 1603593.66, Risk: 1999.17"
2024-01-01 23:00:00,EURUSD,2227182.3419724796,-776.1707151495664,equity_%,-1.1571423141715818e-06,2000.3214985529523,8.979956253733233e-07,1.7959912507466467e-08,"Method: equity_%, ATR: 2227182.34, Risk: 2000.32"
2024-01-02 00:00:00,EURUSD,1758318.6402607157,-686.7448899883648,equity_%,-1.6564463028429297e-06,2000.1859789540256,1.1374502631124066e-06,2.2749005262248133e-08,"Method: equity_%, ATR: 1758318.64, Risk: 2000.19"
2024-01-02 01:00:00,EURUSD,2302805.086817531,-761.4958863719439,equity_%,-1.1404979605763692e-06,1999.9505368446542,8.68505984917722e-07,1.7370119698354443e-08,"Method: equity_%, ATR: 2302805.09, Risk: 1999.95"
2024-01-02 02:00:00,EURUSD,1185360.5531311824,-842.738792382399,equity_%,-2.0035050616111444e-06,2001.4000210838187,1.6872503431271707e-06,3.3745006862543415e-08,"Method: equity_%, ATR: 1185360.55, Risk: 2001.40"
2024-01-02 03:00:00,EURUSD,3311248.0779810473,-936.0950373758143,equity_%,-6.456919692648227e-07,2001.4145238043814,6.040018605973646e-07,1.2080037211947292e-08,"Method: equity_%, ATR: 3311248.08, Risk: 2001.41"
2024-01-02 04:00:00,EURUSD,783991.5672396069,-888.4511800988755,equity_%,-2.8711709216253166e-06,1999.8803206815778,2.551047847417409e-06,5.1020956948348196e-08,"Method: equity_%, ATR: 783991.57, Risk: 1999.88"
2024-01-02 05:00:00,EURUSD,1239615.3206722874,-961.2921700051834,equity_%,-1.6777390630310975e-06,1999.2483966794643,1.6134037444094582e-06,3.2268074888189165e-08,"Method: equity_%, ATR: 1239615.32, Risk: 1999.25"
2024-01-02 06:00:00,EURUSD,2674755.2770286915,-854.1812480518149,equity_%,-8.753299340092392e-07,1999.8888844133114,7.477319578267147e-07,1.4954639156534294e-08,"Method: equity_%, ATR: 2674755.28, Risk: 1999.89"
2024-01-02 07:00:00,EURUSD,1657923.8478029696,-872.6505854194553,equity_%,-1.3823183820203566e-06,1999.9219463733564,1.2063280244447533e-06,2.4126560488895063e-08,"Method: equity_%, ATR: 1657923.85, Risk: 1999.92"
2024-01-02 08:00:00,EURUSD,1282393.7536371476,-825.2393177785636,equity_%,-1.8920237417393516e-06,2002.2941895909041,1.5595833918619497e-06,3.119166783723899e-08,"Method: equity_%, ATR: 1282393.75, Risk: 2002.29"
2024-01-02 09:00:00,EURUSD,4940815.064568439,-658.0808639102509,equity_%,-6.157322434682207e-07,2002.0262026643911,4.047915118989973e-07,8.095830237979946e-09,"Method: equity_%, ATR: 4940815.06, Risk: 2002.03"
2024-01-02 10:00:00,EURUSD,1889326.238521777,-738.0553975284365,equity_%,-1.4359343667284918e-06,2002.3062658215429,1.0585784282363089e-06,2.1171568564726177e-08,"Method: equity_%, ATR: 1889326.24, Risk: 2002.31"
2024-01-02 11:00:00,EURUSD,2199103.6145644933,-805.7099829965733,equity_%,-1.1292138221777038e-06,2000.7859204602344,9.094614672788287e-07,1.8189229345576573e-08,"Method: equity_%, ATR: 2199103.61, Risk: 2000.79"
2024-01-02 12:00:00,EURUSD,1231642.2605529623,-878.8711373666151,equity_%,-1.8500010143718563e-06,2002.542541579516,1.6238481449167497e-06,3.2476962898334995e-08,"Method: equity_%, ATR: 1231642.26, Risk: 2002.54"
2024-01-02 13:00:00,EURUSD,1074181.722513041,-853.5789793812836,equity_%,-2.1846294730107348e-06,2003.084444541277,1.8618823594587085e-06,3.7237647189174164e-08,"Method: equity_%, ATR: 1074181.72, Risk: 2003.08"
