timestamp,pair,atr,entry_price,method,position_size,risk_amount,portfolio_exposure,margin_used_pct,decision_reason
2024-01-01 01:00:00,EURUSD,318161.7816552649,-74.28386035582848,equity_%,-8.462282525648277e-05,2000.0,6.286110134268242e-06,1.2572220268536483e-07,"Method: equity_%, ATR: 318161.78, Risk: 2000.00"
2024-01-01 02:00:00,EURUSD,871992.4569393231,-25.299697806534112,equity_%,-9.062253719612026e-05,1999.2369922690277,2.2935978219581874e-06,4.5871956439163754e-08,"Method: equity_%, ATR: 871992.46, Risk: 1999.24"
2024-01-01 03:00:00,EURUSD,2134287.4713719953,-109.06657564883882,equity_%,-8.611434091385126e-06,2004.5646844226796,9.370808885057689e-07,1.8741617770115378e-08,"Method: equity_%, ATR: 2134287.47, Risk: 2004.56"
2024-01-01 04:00:00,EURUSD,1785133.783675321,-36.56269633780279,equity_%,-3.077017788276237e-05,2008.348108360638,1.1203642092764063e-06,2.240728418552813e-08,"Method: equity_%, ATR: 1785133.78, Risk: 2008.35"
2024-01-01 05:00:00,EURUSD,2026629.6030897382,-75.7209276026598,equity_%,-1.3109414557502312e-05,2011.748123973473,9.86860152911445e-07,1.9737203058228898e-08,"Method: equity_%, ATR: 2026629.60, Risk: 2011.75"
2024-01-01 06:00:00,EURUSD,1103014.0843539315,1.7634671043326762,equity_%,0.0010356864785522632,2014.5438596183935,1.8132134742154812e-06,3.6264269484309626e-08,"Method: equity_%, ATR: 1103014.08, Risk: 2014.54"
2024-01-01 07:00:00,EURUSD,494906.8778811587,-8.409959188670602,equity_%,-0.0004837053814086379,2013.252730482055,4.041164286426137e-06,8.082328572852275e-08,"Method: equity_%, ATR: 494906.88, Risk: 2013.25"
2024-01-01 08:00:00,EURUSD,1396360.20741479,63.338014679393964,equity_%,2.276656384063605e-05,2013.5359959271839,1.4322951838500067e-06,2.864590367700014e-08,"Method: equity_%, ATR: 1396360.21, Risk: 2013.54"
2024-01-01 09:00:00,EURUSD,2418314.277785348,-77.33479976241053,equity_%,-1.0787810740104229e-05,2017.5347511365478,8.27022367759234e-07,1.654044735518468e-08,"Method: equity_%, ATR: 2418314.28, Risk: 2017.53"
2024-01-01 10:00:00,EURUSD,1746411.2291802648,-13.548130159525634,equity_%,-8.5180154944656e-05,2015.414140104923,1.1452056460601008e-06,2.2904112921202015e-08,"Method: equity_%, ATR: 1746411.23, Risk: 2015.41"
2024-01-01 11:00:00,EURUSD,5604260.420949204,-76.89055419258506,equity_%,-4.673295813211562e-06,2013.7918147887353,3.5687135318048915e-07,7.137427063609784e-09,"Method: equity_%, ATR: 5604260.42, Risk: 2013.79"
2024-01-01 12:00:00,EURUSD,1403357.0914713212,-168.23441460081176,equity_%,-8.539900629210352e-06,2016.2104070630332,1.4251540197107927e-06,2.8503080394215853e-08,"Method: equity_%, ATR: 1403357.09, Risk: 2016.21"
2024-01-01 13:00:00,EURUSD,2313343.931798263,-34.09367313621928,equity_%,-2.5552577608558607e-05,2015.341809081056,8.645493532149855e-07,1.7290987064299712e-08,"Method: equity_%, ATR: 2313343.93, Risk: 2015.34"
2024-01-01 14:00:00,EURUSD,2475369.7729000854,-121.1988850871171,equity_%,-6.730774471747578e-06,2019.3134921421583,8.079600962634553e-07,1.6159201925269103e-08,"Method: equity_%, ATR: 2475369.77, Risk: 2019.31"
2024-01-01 15:00:00,EURUSD,1406282.7129892013,-219.19289108080284,equity_%,-6.5484812564898195e-06,2018.5508382733885,1.4221891384476956e-06,2.8443782768953913e-08,"Method: equity_%, ATR: 1406282.71, Risk: 2018.55"
2024-01-01 16:00:00,EURUSD,1627218.473826247,-134.6075217408844,equity_%,-9.225814015174572e-06,2020.783978707978,1.2290912573633663e-06,2.4581825147267327e-08,"Method: equity_%, ATR: 1627218.47, Risk: 2020.78"
2024-01-01 17:00:00,EURUSD,1758504.508838109,-245.17212342305052,equity_%,-4.69287384576839e-06,2023.2681934019301,1.137330038079603e-06,2.274660076159206e-08,"Method: equity_%, ATR: 1758504.51, Risk: 2023.27"
2024-01-01 18:00:00,EURUSD,2477261.722490015,-73.51914810919763,equity_%,-1.1109451721931323e-05,2023.3219093682376,8.073430359993226e-07,1.6146860719986453e-08,"Method: equity_%, ATR: 2477261.72, Risk: 2023.32"
