timestamp,pair,predicted_signal,actual_move,was_correct,confidence,feature_importance
2024-01-01 01:00:00,EURUSD,SignalType.BUY,489841.6254929437,True,0.75,{}
2024-01-01 02:00:00,EURUSD,SignalType.HOLD,-837668.778423047,False,0.75,{}
2024-01-01 03:00:00,EURUSD,SignalType.SELL,725038.7931103603,False,0.75,{}
2024-01-01 04:00:00,EURUSD,SignalType.BUY,-391582.3126485701,False,0.75,{}
2024-01-01 05:00:00,EURUSD,SignalType.SELL,774843.9470699248,False,0.75,{}
2024-01-01 06:00:00,EURUSD,SignalType.BUY,-101734.26293003278,False,0.75,{}
2024-01-01 07:00:00,EURUSD,SignalType.SELL,717479.7386806456,False,0.75,{}
2024-01-01 08:00:00,EURUSD,SignalType.HOLD,-1406728.144418045,False,0.75,{}
2024-01-01 09:00:00,EURUSD,SignalType.HOLD,637866.6960288489,False,0.75,{}
2024-01-01 10:00:00,EURUSD,SignalType.HOLD,-633424.2403305942,False,0.75,{}
2024-01-01 11:00:00,EURUSD,SignalType.SELL,-913438.604082267,True,0.75,{}
2024-01-01 12:00:00,EURUSD,SignalType.SELL,1341407.4146459247,False,0.75,{}
2024-01-01 13:00:00,EURUSD,SignalType.HOLD,-871052.1195089782,False,0.75,{}
2024-01-01 14:00:00,EURUSD,SignalType.SELL,-979940.0599368573,True,0.75,{}
2024-01-01 15:00:00,EURUSD,SignalType.HOLD,845853.6933991843,False,0.75,{}
2024-01-01 16:00:00,EURUSD,SignalType.BUY,-1105646.016821661,False,0.75,{}
2024-01-01 17:00:00,EURUSD,SignalType.HOLD,1716529.753138529,False,0.75,{}
2024-01-01 18:00:00,EURUSD,SignalType.HOLD,-1274184.7457745117,False,0.75,{}
2024-01-01 19:00:00,EURUSD,SignalType.HOLD,486908.08985787496,False,0.75,{}
2024-01-01 20:00:00,EURUSD,SignalType.BUY,814370.835546126,True,0.75,{}
2024-01-01 21:00:00,EURUSD,SignalType.HOLD,-2821266.5034292354,False,0.75,{}
2024-01-01 22:00:00,EURUSD,SignalType.SELL,-1196816.4369040704,True,0.75,{}
2024-01-01 23:00:00,EURUSD,SignalType.HOLD,1037298.4117696007,False,0.75,{}
2024-01-02 00:00:00,EURUSD,SignalType.BUY,504151.0704546522,True,0.75,{}
2024-01-02 01:00:00,EURUSD,SignalType.BUY,1313937.0453402959,True,0.75,{}
2024-01-02 02:00:00,EURUSD,SignalType.BUY,1534327.7333766131,True,0.75,{}
2024-01-02 03:00:00,EURUSD,SignalType.BUY,1303602.7033473256,True,0.75,{}
2024-01-02 04:00:00,EURUSD,SignalType.BUY,-33838.3506559471,False,0.75,{}
2024-01-02 05:00:00,EURUSD,SignalType.HOLD,-1040430.9629006699,False,0.75,{}
2024-01-02 06:00:00,EURUSD,SignalType.SELL,-1134819.1937539533,True,0.75,{}
2024-01-02 07:00:00,EURUSD,SignalType.SELL,98362.1784973836,False,0.75,{}
2024-01-02 08:00:00,EURUSD,SignalType.BUY,-921363.3931166492,False,0.75,{}
2024-01-02 09:00:00,EURUSD,SignalType.SELL,3586861.8862078968,False,0.75,{}
2024-01-02 10:00:00,EURUSD,SignalType.HOLD,944154.7356668297,False,0.75,{}
2024-01-02 11:00:00,EURUSD,SignalType.HOLD,-1415236.8420496036,False,0.75,{}
2024-01-02 12:00:00,EURUSD,SignalType.HOLD,183366.66380910715,False,0.75,{}
2024-01-02 13:00:00,EURUSD,SignalType.HOLD,1951232.2197953274,False,0.75,{}
2024-01-02 14:00:00,EURUSD,SignalType.HOLD,-484601.4719401887,False,0.75,{}
2024-01-02 15:00:00,EURUSD,SignalType.HOLD,-2362538.3899939307,False,0.75,{}
2024-01-02 16:00:00,EURUSD,SignalType.HOLD,-313139.7181067578,False,0.75,{}
2024-01-02 17:00:00,EURUSD,SignalType.SELL,-247509.83187419435,True,0.75,{}
2024-01-02 18:00:00,EURUSD,SignalType.SELL,-886327.5610043386,True,0.75,{}
2024-01-02 19:00:00,EURUSD,SignalType.HOLD,-270410.618332668,False,0.75,{}
2024-01-02 20:00:00,EURUSD,SignalType.SELL,686456.3978780282,False,0.75,{}
2024-01-02 21:00:00,EURUSD,SignalType.BUY,2418811.020509557,True,0.75,{}
2024-01-02 22:00:00,EURUSD,SignalType.BUY,2255814.402525205,True,0.75,{}
2024-01-02 23:00:00,EURUSD,SignalType.SELL,382427.36864214635,False,0.75,{}
2024-01-03 00:00:00,EURUSD,SignalType.HOLD,672322.2755307887,False,0.75,{}
2024-01-03 01:00:00,EURUSD,SignalType.HOLD,1125651.5630387622,False,0.75,{}
2024-01-03 02:00:00,EURUSD,SignalType.SELL,646917.5883335742,False,0.75,{}
2024-01-03 03:00:00,EURUSD,SignalType.SELL,1039360.9061715404,False,0.75,{}
2024-01-03 04:00:00,EURUSD,SignalType.HOLD,1323569.8181930399,False,0.75,{}
2024-01-03 05:00:00,EURUSD,SignalType.HOLD,1203472.4099051596,False,0.75,{}
2024-01-03 06:00:00,EURUSD,SignalType.SELL,473638.21916589356,False,0.75,{}
2024-01-03 07:00:00,EURUSD,SignalType.HOLD,1753043.0503268645,False,0.75,{}
2024-01-03 08:00:00,EURUSD,SignalType.SELL,-517397.48466077115,True,0.75,{}
2024-01-03 09:00:00,EURUSD,SignalType.HOLD,1113335.5664366628,False,0.75,{}
