timestamp,pair,atr,entry_price,method,position_size,risk_amount,portfolio_exposure,margin_used_pct,decision_reason
2024-01-01 01:00:00,EURUSD,4043386.756850726,147.00447239232557,equity_%,3.3647605509136023e-06,2000.0,4.946348495135649e-07,9.892696990271298e-09,"Method: equity_%, ATR: 4043386.76, Risk: 2000.00"
2024-01-01 02:00:00,EURUSD,6044533.878857062,-263.8831417065418,equity_%,-1.2524101979758627e-06,1997.6576253342066,3.3087745723383593e-07,6.61754914467672e-09,"Method: equity_%, ATR: 6044533.88, Risk: 1997.66"
2024-01-01 03:00:00,EURUSD,2831160.8944515307,-387.7932215158106,equity_%,-1.824236147835549e-06,2002.8379949837388,7.064239986923993e-07,1.4128479973847988e-08,"Method: equity_%, ATR: 2831160.89, Risk: 2002.84"
2024-01-01 04:00:00,EURUSD,2614290.6946606007,-488.71198981422606,equity_%,-1.5684346822931743e-06,2003.88737051151,7.650258649831018e-07,1.5300517299662036e-08,"Method: equity_%, ATR: 2614290.69, Risk: 2003.89"
2024-01-01 05:00:00,EURUSD,780264.5809153034,-460.6561483465723,equity_%,-5.566982604349895e-06,2000.9610246917473,2.5632330992826356e-06,5.126466198565271e-08,"Method: equity_%, ATR: 780264.58, Risk: 2000.96"
2024-01-01 06:00:00,EURUSD,1083741.050783437,-463.735926325607,equity_%,-3.988213720296323e-06,2004.3552137442653,1.8454592991141189e-06,3.6909185982282376e-08,"Method: equity_%, ATR: 1083741.05, Risk: 2004.36"
2024-01-01 07:00:00,EURUSD,1850701.3994466478,-563.4034183232887,equity_%,-1.921807597779443e-06,2003.8524367388995,1.0806713609218602e-06,2.1613427218437204e-08,"Method: equity_%, ATR: 1850701.40, Risk: 2003.85"
2024-01-01 08:00:00,EURUSD,731502.5396001261,-506.3260919236559,equity_%,-5.41861398020336e-06,2006.939863445452,2.7340985051033382e-06,5.4681970102066765e-08,"Method: equity_%, ATR: 731502.54, Risk: 2006.94"
2024-01-01 09:00:00,EURUSD,1110829.1148915056,-532.414387570799,equity_%,-3.395519655817735e-06,2008.182998420877,1.800456949848078e-06,3.600913899696156e-08,"Method: equity_%, ATR: 1110829.11, Risk: 2008.18"
2024-01-01 10:00:00,EURUSD,833989.57272031,-508.48767001921544,equity_%,-4.730412469768378e-06,2006.0421687711992,2.398111517721251e-06,4.796223035442502e-08,"Method: equity_%, ATR: 833989.57, Risk: 2006.04"
